date,value
2005-01-03,22.78891944885254
2005-01-04,22.446409225463867
2005-01-05,21.700231552124023
2005-01-06,21.867408752441406
2005-01-07,21.818483352661133
2005-01-10,21.74917793273925
2005-01-11,21.52898025512696
2005-01-12,21.42704391479492
2005-01-13,21.42704391479492
2005-01-14,21.69208717346192
2005-01-18,21.904102325439453
2005-01-19,21.92449188232422
2005-01-20,21.855186462402344
2005-01-21,21.875572204589844
2005-01-24,21.700231552124023
2005-01-25,21.29249382019043
2005-01-26,21.227251052856445
2005-01-27,21.07638168334961
2005-01-28,21.109010696411133
2005-01-31,21.08454704284668
2005-02-01,21.23949241638184
2005-02-02,21.475980758666992
2005-02-03,21.54121398925781
2005-02-04,21.834793090820312
2005-02-07,21.76139640808105
2005-02-08,21.814414978027344
2005-02-09,21.95303726196289
2005-02-10,22.12022590637207
2005-02-11,22.18545722961425
2005-02-14,22.189537048339844
2005-02-15,22.287391662597656
2005-02-16,22.417869567871094
2005-02-17,22.401561737060547
2005-02-18,22.205848693847656
2005-02-22,21.56975173950196
2005-02-23,21.48822021484375
2005-02-24,21.504518508911133
2005-02-25,21.814414978027344
2005-02-28,21.75324249267578
2005-03-01,21.981576919555664
2005-03-02,21.834793090820312
2005-03-03,21.95303726196289
2005-03-04,22.36487197875977
2005-03-07,22.470876693725582
2005-03-08,22.34447288513184
2005-03-09,21.71246910095215
2005-03-10,21.85925674438477
2005-03-11,21.614614486694336
2005-03-14,21.91633987426757
2005-03-15,21.887794494628903
2005-03-16,21.62683868408203
2005-03-17,21.855186462402344
2005-03-18,21.77771759033203
2005-03-21,21.630922317504883
2005-03-22,21.24356269836425
2005-03-23,21.20687294006348
2005-03-24,21.24978256225586
2005-03-28,21.142501831054688
2005-03-29,21.15074920654297
2005-03-30,21.43132972717285
2005-03-31,21.381805419921875
2005-04-01,21.394189834594727
2005-04-04,21.29928970336914
2005-04-05,21.24978256225586
2005-04-06,21.36118698120117
2005-04-07,21.55511474609375
2005-04-08,21.456092834472656
2005-04-11,21.47671699523925
2005-04-12,21.76555252075196
2005-04-13,21.79030418395996
2005-04-14,21.584003448486328
2005-04-15,21.74491310119629
2005-04-18,21.7119083404541
2005-04-19,21.819181442260746
2005-04-20,21.76555252075196
2005-04-21,21.761425018310547
2005-04-22,21.930599212646484
2005-04-25,22.16991424560547
2005-04-26,22.19879150390625
2005-04-27,22.37209701538086
2005-04-28,22.318452835083008
2005-04-29,22.61553955078125
2005-05-02,22.599023818969727
2005-05-03,22.632051467895508
2005-05-04,22.65266799926757
2005-05-05,22.941511154174805
2005-05-06,22.65266799926757
2005-05-09,23.04465675354004
2005-05-10,23.04465675354004
2005-05-11,23.057048797607425
2005-05-12,22.82598114013672
2005-05-13,22.81771850585937
2005-05-16,22.92500305175781
2005-05-17,23.12718772888184
2005-05-18,23.3541259765625
2005-05-19,23.66358184814453
2005-05-20,23.713104248046875
2005-05-23,23.766740798950195
2005-05-24,23.436643600463867
2005-05-25,23.14781951904297
2005-05-26,23.04878044128418
2005-05-27,23.168434143066406
2005-05-31,23.411890029907227
2005-06-01,23.68009185791016
2005-06-02,23.59756660461425
2005-06-03,23.60169982910156
2005-06-06,23.779125213623047
2005-06-07,23.98130416870117
2005-06-08,24.0803279876709
2005-06-09,24.10508728027344
2005-06-10,24.05557441711425
2005-06-13,24.166976928710938
2005-06-14,24.365036010742188
2005-06-15,24.418678283691406
2005-06-16,24.443431854248047
2005-06-17,24.71988296508789
2005-06-20,24.699256896972656
2005-06-21,24.48882484436035
2005-06-22,24.45168685913086
2005-06-23,24.365036010742188
2005-06-24,24.31552505493164
2005-06-27,24.28380584716797
2005-06-28,24.404800415039062
2005-06-29,24.484054565429688
2005-06-30,24.488224029541016
2005-07-01,24.69681167602539
2005-07-05,25.00970458984375
2005-07-06,24.94711875915528
2005-07-07,24.97215843200684
2005-07-08,25.397682189941406
2005-07-11,25.706388473510746
2005-07-12,25.702205657958984
2005-07-13,25.55203628540039
2005-07-14,25.12650680541992
2005-07-15,25.23081016540528
2005-07-18,25.29755592346192
2005-07-19,25.48944854736328
2005-07-20,25.71473503112793
2005-07-21,25.351789474487305
2005-07-22,25.55203628540039
2005-07-25,25.55203628540039
2005-07-26,25.83572006225586
2005-07-27,25.906627655029297
2005-07-28,26.269575119018555
2005-07-29,26.236207962036133
2005-08-01,26.21951103210449
2005-08-02,26.4072380065918
2005-08-03,26.34466552734375
2005-08-04,25.898286819458008
2005-08-05,25.001361846923828
2005-08-08,24.10025405883789
2005-08-09,24.212900161743164
2005-08-10,24.44651985168457
2005-08-11,24.771915435791016
2005-08-12,24.751052856445312
2005-08-15,24.98467063903809
2005-08-16,25.13067626953125
2005-08-17,24.9304313659668
2005-08-18,24.763572692871094
2005-08-19,24.67595672607422
2005-08-22,24.751052856445312
2005-08-23,24.85533905029297
2005-08-24,24.94293975830078
2005-08-25,24.97215843200684
2005-08-26,24.6634464263916
2005-08-29,24.66761779785156
2005-08-30,24.742712020874023
2005-08-31,25.17239189147949
2005-09-01,25.397682189941406
2005-09-02,25.33092498779297
2005-09-06,25.87325859069824
2005-09-07,25.81901931762696
2005-09-08,25.652149200439453
2005-09-09,25.781469345092773
2005-09-12,25.702205657958984
2005-09-13,25.506139755249023
2005-09-14,25.48527908325196
2005-09-15,25.4977970123291
2005-09-16,25.55203628540039
2005-09-19,25.351789474487305
2005-09-20,25.15570831298828
2005-09-21,24.60087203979492
2005-09-22,24.73436737060547
2005-09-23,24.75522804260254
2005-09-26,24.95186996459961
2005-09-27,24.888568878173828
