date,value
2005-01-03,33.695369720458984
2005-01-04,33.081180572509766
2005-01-05,32.876468658447266
2005-01-06,32.7143669128418
2005-01-07,32.88499450683594
2005-01-10,32.8679084777832
2005-01-11,32.63760757446289
2005-01-12,32.91056823730469
2005-01-13,32.47552490234375
2005-01-14,32.78263473510742
2005-01-18,33.029991149902344
2005-01-19,32.48405075073242
2005-01-20,31.861316680908203
2005-01-21,31.60540199279785
2005-01-24,31.16183853149414
2005-01-25,31.315385818481445
2005-01-26,31.69071578979492
2005-01-27,31.64806365966797
2005-01-28,31.4945068359375
2005-01-31,31.903982162475582
2005-02-01,32.00634002685547
2005-02-02,32.05752182006836
2005-02-03,31.69071578979492
2005-02-04,32.20254898071289
2005-02-07,32.13432312011719
2005-02-08,32.19401931762695
2005-02-09,31.656583786010746
2005-02-10,31.69071578979492
2005-02-11,32.15989685058594
2005-02-14,32.30493927001953
2005-02-15,32.51818084716797
2005-02-16,32.39874267578125
2005-02-17,31.96368980407715
2005-02-18,31.861316680908203
2005-02-22,31.468923568725582
2005-02-23,31.511587142944336
2005-02-24,31.91252517700196
2005-02-25,32.091636657714844
2005-02-28,31.750438690185547
2005-03-01,32.10018539428711
2005-03-02,32.08312225341797
2005-03-03,31.818681716918945
2005-03-04,32.00634002685547
2005-03-07,32.46699142456055
2005-03-08,32.142852783203125
2005-03-09,32.04898834228516
2005-03-10,32.00634002685547
2005-03-11,31.707788467407227
2005-03-14,31.852798461914062
2005-03-15,31.596900939941406
2005-03-16,31.23859024047852
2005-03-17,31.315385818481445
2005-03-18,31.1447696685791
2005-03-21,31.204479217529297
2005-03-22,30.820613861083984
2005-03-23,30.931507110595703
2005-03-24,30.940031051635746
2005-03-28,30.9997615814209
2005-03-29,30.75237464904785
2005-03-30,31.33243179321289
2005-03-31,31.195947647094727
2005-04-01,30.88031768798828
2005-04-04,31.10212516784668
2005-04-05,31.187429428100582
2005-04-06,31.13623046875
2005-04-07,31.511587142944336
2005-04-08,31.255661010742188
2005-04-11,31.11917304992676
2005-04-12,31.27273178100586
2005-04-13,30.76090812683105
2005-04-14,30.325834274291992
2005-04-15,29.634870529174805
2005-04-18,29.64339256286621
2005-04-19,29.84814071655273
2005-04-20,29.600753784179688
2005-04-21,30.38555908203125
2005-04-22,29.933427810668945
2005-04-25,30.18082046508789
2005-04-26,29.89931869506836
2005-04-27,29.94198036193848
2005-04-28,29.64339256286621
2005-04-29,29.8396053314209
2005-05-02,29.959009170532227
2005-05-03,30.112586975097656
2005-05-04,30.47941780090332
2005-05-05,30.504987716674805
2005-05-06,30.59029197692871
2005-05-09,30.735313415527344
2005-05-10,30.51351928710937
2005-05-11,30.66705703735352
2005-05-12,30.58174133300781
2005-05-13,30.9144344329834
2005-05-16,31.11917304992676
2005-05-17,31.306846618652344
2005-05-18,31.733373641967773
2005-05-19,31.99781990051269
2005-05-20,32.125770568847656
2005-05-23,32.2878532409668
2005-05-24,32.39022445678711
2005-05-25,32.25372314453125
2005-05-26,32.577877044677734
2005-05-27,32.59492874145508
2005-05-31,32.48405075073242
2005-06-01,32.748477935791016
2005-06-02,32.97880935668945
2005-06-03,32.501121520996094
2005-06-06,32.5096321105957
2005-06-07,32.23666763305664
2005-06-08,32.168418884277344
2005-06-09,32.37316131591797
2005-06-10,32.03193283081055
2005-06-13,32.18548583984375
2005-06-14,32.05752182006836
2005-06-15,32.15989685058594
2005-06-16,32.33050537109375
2005-06-17,32.33477020263672
2005-06-20,32.33477020263672
2005-06-21,32.31768035888672
2005-06-22,32.283546447753906
2005-06-23,31.92493438720703
2005-06-24,31.566312789916992
2005-06-27,31.42118263244629
2005-06-28,31.72002601623535
2005-06-29,31.65169143676757
2005-06-30,31.40409469604492
2005-07-01,31.36138916015625
2005-07-05,31.685853958129883
2005-07-06,31.53217124938965
2005-07-07,31.64316177368164
2005-07-08,32.249385833740234
2005-07-11,32.5482292175293
2005-07-12,32.70192337036133
2005-07-13,32.77877426147461
2005-07-14,33.10322189331055
2005-07-15,33.2056770324707
2005-07-18,33.06905746459961
2005-07-19,33.45328140258789
2005-07-20,33.692378997802734
2005-07-21,33.70090866088867
2005-07-22,33.6582145690918
2005-07-25,33.530147552490234
2005-07-26,33.6582145690918
2005-07-27,33.91436004638672
2005-07-28,34.07658767700195
2005-07-29,33.79483413696289
2005-08-01,33.8546142578125
2005-08-02,34.22175598144531
2005-08-03,34.20467758178711
2005-08-04,33.87166213989258
2005-08-05,33.70945358276367
2005-08-08,33.46182632446289
2005-08-09,33.683837890625
2005-08-10,33.39353942871094
2005-08-11,33.666751861572266
2005-08-12,33.47892761230469
2005-08-15,33.683837890625
2005-08-16,33.13737487792969
2005-08-17,33.33374786376953
2005-08-18,33.16299057006836
2005-08-19,33.14591217041016
2005-08-22,33.16299057006836
2005-08-23,33.06905746459961
2005-08-24,32.8726806640625
2005-08-25,32.94952774047852
2005-08-26,32.83854293823242
2005-08-29,33.09468460083008
2005-08-30,32.97515869140625
2005-08-31,33.282527923583984
2005-09-01,33.231300354003906
2005-09-02,33.10322189331055
2005-09-06,33.58992004394531
2005-09-07,33.649681091308594
2005-09-08,33.64113998413086
2005-09-09,33.8289680480957
2005-09-12,33.92290496826172
2005-09-13,33.83753967285156
2005-09-14,33.45328140258789
2005-09-15,33.436222076416016
2005-09-16,33.64113998413086
2005-09-19,33.376468658447266
2005-09-20,33.23985290527344
2005-09-21,32.8726806640625
2005-09-22,32.992244720458984
2005-09-23,33.08613204956055
2005-09-26,33.09468460083008
2005-09-27,33.017826080322266
