asset,quadrant,annual_return,sharpe,max_drawdown,nb_days
COMMODITIES,1,-0.033417967891508846,-0.2086540630148009,0.5554445350142913,1372
COMMODITIES,2,0.3769197986322503,2.4631864867294304,0.11664530277729701,1688
COMMODITIES,3,0.3837196059117686,1.75668665122556,0.25630209281986505,740
COMMODITIES,4,-0.6019544417693892,-2.487389021334186,0.9544813236522235,1216
GOLD_OZ_USD,1,-0.07340401074215895,-0.48566586239202925,0.5152981496700397,1412
GOLD_OZ_USD,2,0.25718790792398677,1.6406662063661628,0.28105415247162896,1804
GOLD_OZ_USD,3,0.31349217836220417,1.6373560748970388,0.16085944431767396,769
GOLD_OZ_USD,4,0.04532821332282426,0.2113637775658089,0.474801328616033,1306
NASDAQ_100,1,0.3973932116010946,2.5938703019908287,0.16799760372792558,1412
NASDAQ_100,2,0.33652031731144283,2.0829092788125423,0.16812547479689932,1804
NASDAQ_100,3,0.15843349101043583,0.7487791909337058,0.3304421719202173,769
NASDAQ_100,4,-0.33101616295361214,-1.0445916703142315,0.8667432816806336,1306
OBLIGATION,1,-0.011877677638669405,-0.21081736497696213,0.14079896396427458,1412
OBLIGATION,2,0.06778677928264795,1.1566085579294005,0.13047986599297207,1804
OBLIGATION,3,0.05821780172989824,0.6653525551161477,0.14725203557088867,769
OBLIGATION,4,0.06053640799728543,0.467055861877768,0.21762164640458068,1306
SP500,1,0.3151599030181978,2.7172950688789568,0.10041756694616696,1412
SP500,2,0.3120458519966686,2.446359949067292,0.12605159748933115,1804
SP500,3,0.1582719696717575,0.8676016153890209,0.25684606204212557,769
SP500,4,-0.3793815754013451,-1.2717412421992815,0.893694854939239,1306
SmallCAP,1,0.3131929200853945,1.9216040867860278,0.20860226613868416,1412
SmallCAP,2,0.40467013797577867,2.2239947118965238,0.14856785493952926,1804
SmallCAP,3,0.1415998469628694,0.5797855190522844,0.34830508435380925,769
SmallCAP,4,-0.535176439728267,-1.5174966290309138,0.9581181288118843,1306
TREASURY_10Y,1,-0.06573294965487081,-1.1490153918996406,0.3257374847484831,1412
TREASURY_10Y,2,0.01515180046574178,0.26025482124294863,0.17040357281850313,1804
TREASURY_10Y,3,0.08132998666318511,1.1062309720620738,0.06715572062538891,769
TREASURY_10Y,4,0.14349803768018943,1.6951489560976687,0.09130321400836523,1306
US_REIT_VNQ,1,0.24185983228902544,1.636050762510006,0.1178187485324157,1412
US_REIT_VNQ,2,0.25457262618284754,1.5620496232145584,0.16447520143494243,1804
US_REIT_VNQ,3,0.343398515798494,1.0246896499022353,0.3118162527587976,769
US_REIT_VNQ,4,-0.3807254088256573,-0.8368059351358503,0.9331363362386191,1306
