date,transaction_cost,ter_cost,cum_transaction_cost,cum_ter_cost
2020-10-23,0.0,3.5714285714285714e-06,0.22560000000000024,0.022928769841270284
2020-10-26,0.0,3.5714285714285714e-06,0.22560000000000024,0.022932341269841713
2020-10-27,0.0,3.5714285714285714e-06,0.22560000000000024,0.022935912698413143
2020-10-28,0.0,3.5714285714285714e-06,0.22560000000000024,0.02293948412698457
2020-10-29,0.0,3.5714285714285714e-06,0.22560000000000024,0.022943055555556
2020-10-30,0.0,3.5714285714285714e-06,0.22560000000000024,0.02294662698412743
2020-11-02,0.0,3.5714285714285714e-06,0.22560000000000024,0.02295019841269886
2020-11-03,0.0,3.5714285714285714e-06,0.22560000000000024,0.02295376984127029
2020-11-04,0.0,3.5714285714285714e-06,0.22560000000000024,0.022957341269841718
2020-11-05,0.0,3.5714285714285714e-06,0.22560000000000024,0.022960912698413147
2020-11-06,0.0,3.5714285714285714e-06,0.22560000000000024,0.022964484126984576
2020-11-09,0.0,3.5714285714285714e-06,0.22560000000000024,0.022968055555556005
2020-11-10,0.0,3.5714285714285714e-06,0.22560000000000024,0.022971626984127434
2020-11-11,0.0,3.5714285714285714e-06,0.22560000000000024,0.022975198412698863
2020-11-12,0.0,3.5714285714285714e-06,0.22560000000000024,0.022978769841270293
2020-11-13,0.0,3.5714285714285714e-06,0.22560000000000024,0.022982341269841722
2020-11-16,0.0,3.5714285714285714e-06,0.22560000000000024,0.02298591269841315
2020-11-17,0.0,3.5714285714285714e-06,0.22560000000000024,0.02298948412698458
2020-11-18,0.0,3.5714285714285714e-06,0.22560000000000024,0.02299305555555601
2020-11-19,0.0,3.5714285714285714e-06,0.22560000000000024,0.02299662698412744
2020-11-20,0.0,3.5714285714285714e-06,0.22560000000000024,0.023000198412698868
2020-11-23,0.0,3.5714285714285714e-06,0.22560000000000024,0.023003769841270297
2020-11-24,0.0,3.5714285714285714e-06,0.22560000000000024,0.023007341269841726
2020-11-25,0.0,3.5714285714285714e-06,0.22560000000000024,0.023010912698413155
2020-11-27,0.0014,5.2380952380952384e-06,0.22700000000000026,0.02301615079365125
2020-11-30,0.0,5.2380952380952384e-06,0.22700000000000026,0.023021388888889348
2020-12-01,0.0,5.2380952380952384e-06,0.22700000000000026,0.023026626984127444
2020-12-02,0.0,5.2380952380952384e-06,0.22700000000000026,0.02303186507936554
2020-12-03,0.0,5.2380952380952384e-06,0.22700000000000026,0.023037103174603637
2020-12-04,0.0,5.2380952380952384e-06,0.22700000000000026,0.023042341269841733
2020-12-07,0.0,5.2380952380952384e-06,0.22700000000000026,0.02304757936507983
2020-12-08,0.0,5.2380952380952384e-06,0.22700000000000026,0.023052817460317926
2020-12-09,0.0,5.2380952380952384e-06,0.22700000000000026,0.023058055555556022
2020-12-10,0.0,5.2380952380952384e-06,0.22700000000000026,0.02306329365079412
2020-12-11,0.0,5.2380952380952384e-06,0.22700000000000026,0.023068531746032215
2020-12-14,0.0,5.2380952380952384e-06,0.22700000000000026,0.02307376984127031
2020-12-15,0.0,5.2380952380952384e-06,0.22700000000000026,0.023079007936508408
2020-12-16,0.0,5.2380952380952384e-06,0.22700000000000026,0.023084246031746504
2020-12-17,0.0,5.2380952380952384e-06,0.22700000000000026,0.0230894841269846
2020-12-18,0.0,5.2380952380952384e-06,0.22700000000000026,0.023094722222222697
2020-12-21,0.0,5.2380952380952384e-06,0.22700000000000026,0.023099960317460793
2020-12-22,0.0,5.2380952380952384e-06,0.22700000000000026,0.02310519841269889
2020-12-23,0.0,5.2380952380952384e-06,0.22700000000000026,0.023110436507936986
2020-12-24,0.0,5.2380952380952384e-06,0.22700000000000026,0.023115674603175082
2020-12-28,0.0,5.2380952380952384e-06,0.22700000000000026,0.02312091269841318
2020-12-29,0.0,5.2380952380952384e-06,0.22700000000000026,0.023126150793651275
2020-12-30,0.0,5.2380952380952384e-06,0.22700000000000026,0.02313138888888937
2020-12-31,0.0,5.2380952380952384e-06,0.22700000000000026,0.023136626984127467
2021-01-04,0.0,5.2380952380952384e-06,0.22700000000000026,0.023141865079365564
2021-01-05,0.0,5.2380952380952384e-06,0.22700000000000026,0.02314710317460366
2021-01-06,0.0,5.2380952380952384e-06,0.22700000000000026,0.023152341269841756
2021-01-07,0.0,5.2380952380952384e-06,0.22700000000000026,0.023157579365079853
2021-01-08,0.0,5.2380952380952384e-06,0.22700000000000026,0.02316281746031795
2021-01-11,0.0,5.2380952380952384e-06,0.22700000000000026,0.023168055555556046
2021-01-12,0.0,5.2380952380952384e-06,0.22700000000000026,0.023173293650794142
2021-01-13,0.0,5.2380952380952384e-06,0.22700000000000026,0.023178531746032238
2021-01-14,0.0,5.2380952380952384e-06,0.22700000000000026,0.023183769841270335
2021-01-15,0.0,5.2380952380952384e-06,0.22700000000000026,0.02318900793650843
2021-01-19,0.0,5.2380952380952384e-06,0.22700000000000026,0.023194246031746527
2021-01-20,0.0,5.2380952380952384e-06,0.22700000000000026,0.023199484126984624
2021-01-21,0.0012,9.166666666666668e-06,0.22820000000000026,0.02320865079365129
2021-01-22,0.0,9.166666666666668e-06,0.22820000000000026,0.02321781746031796
2021-01-25,0.0,9.166666666666668e-06,0.22820000000000026,0.023226984126984627
2021-01-26,0.0,9.166666666666668e-06,0.22820000000000026,0.023236150793651295
2021-01-27,0.0,9.166666666666668e-06,0.22820000000000026,0.023245317460317962
2021-01-28,0.0,9.166666666666668e-06,0.22820000000000026,0.02325448412698463
2021-01-29,0.0,9.166666666666668e-06,0.22820000000000026,0.023263650793651298
2021-02-01,0.0,9.166666666666668e-06,0.22820000000000026,0.023272817460317965
2021-02-02,0.0,9.166666666666668e-06,0.22820000000000026,0.023281984126984633
2021-02-03,0.0,9.166666666666668e-06,0.22820000000000026,0.0232911507936513
2021-02-04,0.0,9.166666666666668e-06,0.22820000000000026,0.02330031746031797
2021-02-05,0.0,9.166666666666668e-06,0.22820000000000026,0.023309484126984636
2021-02-08,0.0,9.166666666666668e-06,0.22820000000000026,0.023318650793651304
2021-02-09,0.0,9.166666666666668e-06,0.22820000000000026,0.023327817460317972
2021-02-10,0.0,9.166666666666668e-06,0.22820000000000026,0.02333698412698464
2021-02-11,0.0,9.166666666666668e-06,0.22820000000000026,0.023346150793651307
2021-02-12,0.0,9.166666666666668e-06,0.22820000000000026,0.023355317460317975
2021-02-16,0.0,9.166666666666668e-06,0.22820000000000026,0.023364484126984643
2021-02-17,0.0,9.166666666666668e-06,0.22820000000000026,0.02337365079365131
2021-02-18,0.0,9.166666666666668e-06,0.22820000000000026,0.02338281746031798
2021-02-19,0.0,9.166666666666668e-06,0.22820000000000026,0.023391984126984646
2021-02-22,0.0,9.166666666666668e-06,0.22820000000000026,0.023401150793651314
2021-02-23,0.0,9.166666666666668e-06,0.22820000000000026,0.02341031746031798
2021-02-24,0.0,9.166666666666668e-06,0.22820000000000026,0.02341948412698465
2021-02-25,0.0012,5.2380952380952384e-06,0.22940000000000027,0.023424722222222746
2021-02-26,0.0006,4.642857142857143e-06,0.23000000000000026,0.0234293650793656
2021-03-01,0.0,4.642857142857143e-06,0.23000000000000026,0.023434007936508457
2021-03-02,0.0,4.642857142857143e-06,0.23000000000000026,0.023438650793651313
2021-03-03,0.0,4.642857142857143e-06,0.23000000000000026,0.02344329365079417
2021-03-04,0.0,4.642857142857143e-06,0.23000000000000026,0.023447936507937025
2021-03-05,0.0,4.642857142857143e-06,0.23000000000000026,0.02345257936507988
2021-03-08,0.0,4.642857142857143e-06,0.23000000000000026,0.023457222222222737
2021-03-09,0.0,4.642857142857143e-06,0.23000000000000026,0.023461865079365592
2021-03-10,0.0012000000000000001,9.166666666666668e-06,0.23120000000000027,0.02347103174603226
2021-03-11,0.0,9.166666666666668e-06,0.23120000000000027,0.023480198412698928
2021-03-12,0.0,9.166666666666668e-06,0.23120000000000027,0.023489365079365596
2021-03-15,0.0,9.166666666666668e-06,0.23120000000000027,0.023498531746032263
2021-03-16,0.0,9.166666666666668e-06,0.23120000000000027,0.02350769841269893
2021-03-17,0.0,9.166666666666668e-06,0.23120000000000027,0.0235168650793656
2021-03-18,0.0,9.166666666666668e-06,0.23120000000000027,0.023526031746032267
2021-03-19,0.0,9.166666666666668e-06,0.23120000000000027,0.023535198412698934
2021-03-22,0.0,9.166666666666668e-06,0.23120000000000027,0.023544365079365602
2021-03-23,0.0,9.166666666666668e-06,0.23120000000000027,0.02355353174603227
2021-03-24,0.0,9.166666666666668e-06,0.23120000000000027,0.023562698412698938
2021-03-25,0.0,9.166666666666668e-06,0.23120000000000027,0.023571865079365605
2021-03-26,0.0,9.166666666666668e-06,0.23120000000000027,0.023581031746032273
2021-03-29,0.0,9.166666666666668e-06,0.23120000000000027,0.02359019841269894
2021-03-30,0.0,9.166666666666668e-06,0.23120000000000027,0.02359936507936561
2021-03-31,0.0,9.166666666666668e-06,0.23120000000000027,0.023608531746032276
2021-04-01,0.0,9.166666666666668e-06,0.23120000000000027,0.023617698412698944
2021-04-05,0.0,9.166666666666668e-06,0.23120000000000027,0.02362686507936561
2021-04-06,0.0,9.166666666666668e-06,0.23120000000000027,0.02363603174603228
2021-04-07,0.0,9.166666666666668e-06,0.23120000000000027,0.023645198412698947
2021-04-08,0.0,9.166666666666668e-06,0.23120000000000027,0.023654365079365615
2021-04-09,0.0,9.166666666666668e-06,0.23120000000000027,0.023663531746032283
