date,value
2008-01-02,116.79025268554688
2008-01-03,116.95529174804688
2008-01-04,117.350341796875
2008-01-07,117.25740051269531
2008-01-08,116.74535369873047
2008-01-09,117.54248046875
2008-01-10,117.23800659179688
2008-01-11,117.1357650756836
2008-01-14,117.47816467285156
2008-01-15,117.96623229980469
2008-01-16,118.45426177978516
2008-01-17,118.36361694335938
2008-01-18,118.49295806884766
2008-01-21,119.0429916381836
2008-01-22,117.53475189208984
2008-01-23,118.5611572265625
2008-01-24,117.31314086914062
2008-01-25,117.8980484008789
2008-01-28,118.19783020019531
2008-01-29,117.50450897216797
2008-01-30,117.22948455810547
2008-01-31,118.73700714111328
2008-02-01,119.19019317626953
2008-02-04,118.90123748779297
2008-02-05,120.11051177978516
2008-02-06,119.32189178466797
2008-02-07,119.24906921386719
2008-02-08,119.43343353271484
2008-02-11,119.64413452148438
2008-02-12,117.87323760986328
2008-02-13,117.97008514404297
2008-02-14,117.61759948730469
2008-02-15,117.8600845336914
2008-02-18,117.17371368408203
2008-02-19,117.71907806396484
2008-02-20,117.28602600097656
2008-02-21,117.55330657958984
2008-02-22,117.36505126953125
2008-02-25,116.40681457519531
2008-02-26,116.03266906738281
2008-02-27,115.7475814819336
2008-02-28,117.028076171875
2008-02-29,118.30937194824219
2008-03-03,118.57350158691406
2008-03-04,118.16143798828125
2008-03-05,116.80419158935547
2008-03-06,117.57886505126953
2008-03-07,117.18301391601562
2008-03-10,117.83841705322266
2008-03-11,117.6284408569336
2008-03-12,118.15367889404297
2008-03-13,117.89338684082031
2008-03-14,117.9313735961914
2008-03-17,117.54399871826172
2008-03-18,117.32247924804688
2008-03-19,118.46741485595703
2008-03-20,119.34282684326172
2008-03-25,118.33573150634766
2008-03-26,117.7500991821289
2008-03-27,116.70736694335938
2008-03-28,116.99635314941406
2008-03-31,117.49984741210938
2008-04-01,117.3302230834961
2008-04-02,117.5556411743164
2008-04-03,117.21478271484375
2008-04-04,117.87789154052734
2008-04-07,117.5316162109375
2008-04-08,117.03890991210938
2008-04-09,117.11795043945312
2008-04-10,117.54865264892578
2008-04-11,118.42324829101562
2008-04-14,118.39459991455078
2008-04-15,117.67803192138672
2008-04-16,116.39282989501953
2008-04-17,115.76612854003906
2008-04-18,115.6127700805664
2008-04-21,115.6956558227539
2008-04-22,115.5972671508789
2008-04-23,115.6220932006836
2008-04-24,114.86288452148438
2008-04-25,115.1805191040039
2008-04-28,114.98682403564453
2008-04-29,116.11937713623047
2008-04-30,114.7466812133789
2008-05-02,114.05335998535156
2008-05-06,114.93029022216797
2008-05-07,114.4399185180664
2008-05-08,115.67708587646484
2008-05-09,116.316162109375
2008-05-12,115.78398132324219
2008-05-13,114.72653198242188
2008-05-14,113.76289367675781
2008-05-15,113.24613952636719
2008-05-16,114.27571105957031
2008-05-19,113.79229736328125
2008-05-20,114.21607208251953
2008-05-21,113.41815185546875
2008-05-22,113.19507598876953
2008-05-23,113.755126953125
2008-05-27,113.04322052001953
2008-05-28,112.5187759399414
2008-05-29,111.49002838134766
2008-05-30,112.14765930175781
2008-06-02,112.66751098632812
2008-06-03,111.51863861083984
2008-06-04,112.17791748046875
2008-06-05,111.86029052734375
2008-06-06,113.36468505859375
2008-06-09,112.5489501953125
2008-06-10,112.17017364501953
2008-06-11,110.85554504394531
2008-06-12,110.75559997558594
2008-06-13,110.29932403564453
2008-06-16,111.4543685913086
2008-06-17,111.55509185791016
2008-06-18,112.26075744628906
2008-06-19,111.89825439453125
2008-06-20,112.2422103881836
2008-06-23,111.92924499511719
2008-06-24,111.47683715820312
2008-06-25,111.39470672607422
2008-06-26,112.06636810302734
2008-06-27,111.28860473632812
2008-06-30,110.62623596191406
2008-07-01,110.41556549072266
2008-07-02,110.39154052734375
2008-07-03,110.91287994384766
2008-07-04,111.39704132080078
2008-07-07,112.1507797241211
2008-07-08,112.20193481445312
2008-07-09,112.66514587402344
2008-07-10,112.70463562011719
2008-07-11,112.43822479248047
2008-07-14,112.67445373535156
2008-07-15,112.48623657226562
2008-07-16,112.6295394897461
2008-07-17,112.32353210449219
2008-07-18,111.04845428466797
2008-07-21,110.69364929199219
2008-07-22,110.82378387451172
2008-07-23,110.78893280029297
2008-07-24,111.534912109375
2008-07-25,111.15612030029297
2008-07-28,111.94474029541016
2008-07-29,112.6140365600586
2008-07-30,113.31122589111328
2008-07-31,114.07659149169922
2008-08-01,113.85893249511719
2008-08-04,114.39035034179688
2008-08-05,114.42829895019531
2008-08-06,114.38724517822266
2008-08-07,114.4546127319336
2008-08-08,114.19901275634766
2008-08-11,114.29041290283203
2008-08-12,114.81023406982422
2008-08-13,114.955078125
2008-08-14,114.90240478515625
2008-08-15,115.32382202148438
2008-08-18,115.56629943847656
2008-08-19,114.98064422607422
2008-08-20,115.65150451660156
2008-08-21,115.15106964111328
2008-08-22,115.01860046386719
2008-08-25,115.01860046386719
2008-08-26,115.57791137695312
2008-08-27,115.09605407714844
2008-08-28,115.78324127197266
2008-08-29,116.0542984008789
2008-09-01,116.39209747314453
2008-09-02,115.93193817138672
2008-09-03,115.78705596923828
2008-09-04,116.32003784179688
2008-09-05,116.6469497680664
2008-09-08,115.84361267089844
2008-09-09,116.14420318603516
2008-09-10,116.02176666259766
2008-09-11,115.3470687866211
2008-09-12,113.82640838623047
2008-09-15,114.36714172363281
2008-09-16,115.64147186279297
2008-09-17,115.24638366699219
2008-09-18,114.53600311279297
2008-09-19,112.68067932128906
2008-09-22,111.99044799804688
2008-09-23,112.07101440429688
2008-09-24,113.69239807128906
