Date,INTL_BONDS,EURO_STOXX_50,GOLD,EU_SMALL_CAP
2002-10-21,,12.123393058776855,,
2002-10-22,,11.880922317504883,,
2002-10-23,,11.580263137817383,,
2002-10-24,,11.531770706176758,,
2002-10-25,,11.66270637512207,,
2002-10-28,,11.842131614685059,,
2002-10-29,,11.541473388671875,,
2002-10-30,,11.851827621459961,,
2002-10-31,,11.953667640686035,,
2002-11-01,,12.123393058776855,,
2002-11-04,,12.322211265563965,,
2002-11-05,,12.700465202331543,,
2002-11-06,,12.637426376342773,,
2002-11-07,,12.108842849731445,,
2002-11-08,,12.007009506225586,,
2002-11-11,,11.871223449707031,,
2002-11-12,,11.977911949157715,,
2002-11-13,,11.91002082824707,,
2002-11-14,,12.390111923217773,,
2002-11-15,,12.521035194396973,,
2002-11-18,,12.453157424926758,,
2002-11-19,,12.380410194396973,,
2002-11-20,,12.516192436218262,,
2002-11-21,,12.841094017028809,,
2002-11-22,,12.860493659973145,,
2002-11-25,,12.753808975219727,,
2002-11-26,,12.19128704071045,,
2002-11-27,,12.792597770690918,,
2002-11-29,,12.792597770690918,,
2002-12-02,,12.821700096130371,,
2002-12-03,,12.530735969543457,,
2002-12-04,,12.671366691589355,,
2002-12-05,,12.268866539001465,,
2002-12-06,,12.424054145812988,,
2002-12-09,,11.91002082824707,,
2002-12-10,,12.205828666687012,,
2002-12-11,,12.273723602294922,,
2002-12-12,,12.167032241821289,,
2002-12-13,,12.021554946899414,,
2002-12-16,,12.574384689331055,,
2002-12-17,,12.399805068969727,,
2002-12-18,,12.094289779663086,,
2002-12-19,,11.871223449707031,,
2002-12-20,,12.302820205688477,,
2002-12-23,,12.19128704071045,,
2002-12-24,,12.196130752563477,,
2002-12-26,,12.380410194396973,,
2002-12-27,,11.900325775146484,,
2002-12-30,,12.152487754821777,,
2002-12-31,,12.152487754821777,,
2003-01-02,,12.661669731140137,,
2003-01-03,,12.647119522094727,,
2003-01-06,,12.957478523254395,,
2003-01-07,,12.957478523254395,,
2003-01-08,,12.482244491577148,,
2003-01-09,,12.56952953338623,,
2003-01-10,,12.676225662231445,,
2003-01-13,,12.841094017028809,,
2003-01-14,,12.913834571838379,,
2003-01-15,,12.802299499511719,,
2003-01-16,,12.685918807983398,,
2003-01-17,,12.312518119812012,,
2003-01-21,,12.011857032775879,,
2003-01-22,,11.8275785446167,,
2003-01-23,,11.939109802246094,,
2003-01-24,,11.667553901672363,,
2003-01-27,,11.32324504852295,,
2003-01-28,,11.459027290344238,,
2003-01-29,,11.716049194335938,,
2003-01-30,,11.497822761535645,,
2003-01-31,,11.793633460998535,,
2003-02-03,,11.880922317504883,,
2003-02-04,,11.599664688110352,,
2003-02-05,,11.589961051940918,,
2003-02-06,,11.376591682434082,,
2003-02-07,,11.19716739654541,,
2003-02-10,,11.187466621398926,,
2003-02-11,,11.260207176208496,,
2003-02-12,,11.056530952453613,,
2003-02-13,,11.250510215759277,,
2003-02-14,,11.570562362670898,,
2003-02-18,,11.808182716369629,,
2003-02-19,,11.623907089233398,,
2003-02-20,,11.429938316345215,,
2003-02-21,,11.653009414672852,,
2003-02-24,,11.32324504852295,,
2003-02-25,,11.095329284667969,,
2003-02-26,,10.780115127563477,,
2003-02-27,,10.911051750183105,,
2003-02-28,,11.19716739654541,,
2003-03-03,,11.27475357055664,,
2003-03-04,,11.148669242858887,,
2003-03-05,,11.158371925354004,,
2003-03-06,,10.838314056396484,,
2003-03-07,,10.741324424743652,,
2003-03-10,,10.285487174987793,,
2003-03-11,,10.367921829223633,,
2003-03-12,,9.960578918457031,,
2003-03-13,,10.527952194213867,,
2003-03-14,,10.673433303833008,,
2003-03-17,,11.265053749084473,,
2003-03-18,,11.202010154724121,,
2003-03-19,,11.28445053100586,,
2003-03-20,,11.163217544555664,,
2003-03-21,,11.712934494018555,,
2003-03-24,,10.960230827331543,,
2003-03-25,,11.295310020446777,,
2003-03-26,,11.314727783203125,,
2003-03-27,,11.159333229064941,,
2003-03-28,,11.110771179199219,,
2003-03-31,,10.736854553222656,,
2003-04-01,,10.960230827331543,,
2003-04-02,,11.373000144958496,,
2003-04-03,,11.309873580932617,,
2003-04-04,,11.601245880126953,,
2003-04-07,,11.819764137268066,,
2003-04-08,,11.819764137268066,,
2003-04-09,,11.829477310180664,,
2003-04-10,,11.742070198059082,,
2003-04-11,,11.780913352966309,,
2003-04-14,,12.05285930633545,,
2003-04-15,,12.237393379211426,,
2003-04-16,,12.07713794708252,,
2003-04-17,,12.40735149383545,,
2003-04-21,,12.373360633850098,,
2003-04-22,,12.69871711730957,,
2003-04-23,,12.669583320617676,,
2003-04-24,,12.523897171020508,,
2003-04-25,,12.237393379211426,,
2003-04-28,,12.65015983581543,,
2003-04-29,,12.572458267211914,,
2003-04-30,,12.6404447555542,,
2003-05-01,,12.655014038085938,,
2003-05-02,,12.795842170715332,,
2003-05-05,,13.05807113647461,,
2003-05-06,,13.354291915893555,,
2003-05-07,,13.077502250671387,,
2003-05-08,,12.786130905151367,,
2003-05-09,,13.09206485748291,,
2003-05-12,,13.17462158203125,,
2003-05-13,,13.062929153442383,,
2003-05-14,,13.067785263061523,,
2003-05-15,,13.184325218200684,,
2003-05-16,,13.402853965759277,,
2003-05-19,,12.795842170715332,,
2003-05-20,,12.888104438781738,,
2003-05-21,,12.82983684539795,,
2003-05-22,,12.99008846282959,,
2003-05-23,,13.111493110656738,,
2003-05-27,,13.349438667297363,,
2003-05-28,,13.388287544250488,,
2003-05-29,,13.397998809814453,,
2003-05-30,,13.563109397888184,,
